name,province,lat,lng
河北医科大学(建华校区),河北省,38.019608,114.555951
石家庄学院(北校区),河北省,38.041201,114.611489
藁城区第九中学,河北省,38.021904,114.847302
河北省交通职业技术学校,河北省,38.026254,114.835794
河北藁城一中,河北省,38.046411,114.856249
石家庄铁路运输学校阿里山校区,河北省,38.02199,114.677062
藁城区实验学校,河北省,38.039309,114.862141
藁城区尚西中学,河北省,38.028724,114.865915
藁城区第八中学,河北省,38.021242,114.864473
尚西中学东校区,河北省,37.945685,114.959128
冀明中学,河北省,38.021648,114.849608
河北轨道运输职业技术学院(东校区),河北省,38.024715,114.706274
河北中医学院,河北省,38.062992,114.35294
河北石家庄幼儿师范学校,河北省,38.05068,114.352773
国家检察官学院(河北分院),河北省,38.005412,114.387972
石家庄铁道大学四方学院(西校区),河北省,38.059281,114.360032
石家庄通用交通中等专业学校,河北省,38.063221,114.378316
鹿泉一中新校,河北省,38.095759,114.303431
石家庄一中西山学校,河北省,38.010999,114.384894
石家庄理工职业学院,河北省,38.058814,114.357694
石家庄工程职业学院,河北省,38.176806,114.445936
石家庄财经职业学院,河北省,38.174459,114.44225
井陉县第一中学(新校区),河北省,37.994994,114.188865
通用装备职业技术学校,河北省,38.12627,114.172507
井陉县实验中学,河北省,38.037816,114.146027
井陉县皆山中学,河北省,37.998179,114.043493
威州中学,河北省,38.120159,114.160152
台头小学,河北省,38.025852,113.94747
井陉县第二中学,河北省,38.005569,114.02752
井陉小作中学,河北省,38.126333,114.033448
秀林镇中学,河北省,38.002005,114.098874
井陉县第一小学,河北省,38.038965,114.144714
石家庄二中(南校区),河北省,37.905019,114.644881
石家庄白求恩医学中等专业学校,河北省,37.964479,114.638038
河北传媒学院(兴安校区),河北省,37.912529,114.670816
石家庄市栾城区第二中学,河北省,37.949219,114.607208
河北栾城中学,河北省,37.904716,114.663402
河北艺术职业学院南校区,河北省,37.964828,114.601276
石家庄市栾城区第三中学,河北省,37.889552,114.577579
石家庄市栾城区邵家庄小学,河北省,37.971619,114.564405
石家庄市栾城区兴安大街小学,河北省,37.903791,114.672932
石家庄同济医学中等专业学校(同济护士),河北省,37.98664,114.649534
河北正定中学,河北省,38.161365,114.575771
正定县弘文中学,河北省,38.178455,114.577585
正定县第三中学,河北省,38.235096,114.55649
解放街小学,河北省,38.149603,114.579779
石家庄经济职业学院,河北省,38.15306,114.559916
正定第七中学,河北省,38.233925,114.614701
正定县子龙小学,河北省,38.175236,114.571291
正定县第八中学,河北省,38.164066,114.573417
石家庄科技工程职业学院,河北省,38.168476,114.574559
正定新区三里屯实验学校,河北省,38.169368,114.611852
行唐县第一中学,河北省,38.462198,114.574734
河北省行唐县启明中学,河北省,38.434974,114.558703
行唐县同济中学,河北省,38.43138,114.564452
河北行唐龙州中学,河北省,38.43174,114.547823
行唐县六一小学,河北省,38.433934,114.552778
行唐县第二中学,河北省,38.45471,114.523593
玉城中学,河北省,38.446663,114.547163
行唐县实验中学,河北省,38.439953,114.564863
行唐县实验学校,河北省,38.448609,114.55712
行唐县安香第五中学(西校区),河北省,38.398631,114.541588
石家庄医学高等专科学校,河北省,38.267735,114.42452
河北灵寿中学,河北省,38.308749,114.365768
横山岭中学,河北省,38.570642,114.23362
护驾疃高中,河北省,38.377177,114.364706
灵寿县第二初级中学,河北省,38.339967,114.392568
牛城乡中心小学,河北省,38.278223,114.313244
慈峪中学,河北省,38.459852,114.326733
灵寿县狗台乡中学,河北省,38.334336,114.33173
灵寿县灵寿镇城内明德小学,河北省,38.307823,114.381971
岗头小学,河北省,38.30521,114.394845
高邑一中,河北省,37.621824,114.624314
高邑三中,河北省,37.626038,114.624103
高邑县音体美中学,河北省,37.612829,114.620372
高邑县第五中学,河北省,37.670459,114.605213
高邑县第四中学,河北省,37.617903,114.623162
富村中心小学,河北省,37.58995,114.552827
东关小学,河北省,37.610879,114.636962
东塔影学校,河北省,37.610674,114.590604
谷兴庄中心小学,河北省,37.654003,114.558326
高邑县大夫庄学校,河北省,37.596658,114.61205
深泽县赵八中学,河北省,38.196275,115.144846
河北深泽中学,河北省,38.186723,115.205402
赵八乡中心小学,河北省,38.196032,115.135153
东固罗小学,河北省,38.268058,115.260414
大直要小学,河北省,38.226507,115.277181
后马里中心学校,河北省,38.193591,115.318075
大直要中学,河北省,38.226822,115.272748
营里中学,河北省,38.157156,115.261292
深泽镇中学,河北省,38.198575,115.205919
大勿头村小学,河北省,38.175611,115.148146
赞皇县第二中学,河北省,37.686549,114.37926
河北赞皇中学,河北省,37.654003,114.388298
赞皇县第一中学,河北省,37.6621,114.396835
龙堂院小学,河北省,37.666353,114.297414
赞皇县邢郭乡南邢郭小学,河北省,37.637632,114.490655
西坛山小学,河北省,37.709452,114.419697
南街小学,河北省,37.66024,114.397103
职工子弟小学,河北省,37.668921,114.402576
赞皇县至善小学,河北省,37.667145,114.409088
河北银行野草湾中心小学,河北省,37.64234,114.248964
石家庄实验中学,河北省,38.211737,114.982479
河北省明星学校野风美术中学,河北省,38.212163,114.977923
马古庄学校,河北省,38.173062,114.918737
河北无极二中,河北省,38.193479,114.994326
牛辛庄学校,河北省,38.092654,114.929832
河北无极中学(保险花园北),河北省,38.193679,114.994325
无极文苑中学,河北省,38.190474,114.982374
里城道初级中学,河北省,38.247727,114.941673
无极县郝庄中学,河北省,38.101776,114.935851
北苏镇初级中学,河北省,38.165881,114.818886
石家庄铁道大学四方学院(南校区),河北省,37.889637,114.412919
元氏县第一中学,河北省,37.773428,114.515462
石家庄第二实验中学,河北省,37.759619,114.524215
